id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,guBlnR,https://acme.dev/silver/harvest/1,Quarterly brief quartz,True,2025-12-19 18:53:41,2026-02-08 00:48:06
2,25,f1ffhv,https://opswise.net/ember/meadow/2,Roadmap update anchor,True,2025-03-31 03:58:50,2025-10-04 01:40:33
3,269,WshuVM,https://seeded.app/gold/river/3,Demo link window,True,2025-09-26 02:32:16,2025-10-01 17:36:13
4,386,oMXKBG,https://acme.dev/jade/river/4,Status board signal,True,2025-10-09 01:08:56,2025-12-06 21:27:06
5,168,38Rbsd,https://example.com/amber/trail/5,Ops review lagoon,True,2025-06-02 09:20:31,2025-10-15 12:40:55
6,391,LKWCOd,https://acme.dev/rapid/island/6,Service guide river,True,2025-07-31 03:32:11,2025-10-12 20:33:21
7,141,ecypxC,https://opswise.net/warm/window/7,Alert feed valley,True,2026-02-09 01:35:04,2026-02-18 02:35:53
8,224,17bpqZ,https://hackstack.io/cobalt/valley/8,Launch deck lagoon,True,2025-10-23 10:44:18,2025-11-27 01:45:15
9,198,dcWixV,https://hackstack.io/brisk/journey/9,Status board valley,True,2025-04-16 22:03:00,2025-06-02 06:53:46
10,109,xdltyy,https://opswise.net/vivid/lagoon/10,Status board canyon,True,2025-02-05 21:13:02,2025-02-05 23:37:18
11,358,c9FgGK,https://relay.cloud/opal/island/11,Ops review signal,True,2025-02-23 14:50:15,2026-02-18 13:51:40
12,70,Y1GT7L,https://hackstack.io/tidy/yard/12,Roadmap update network,False,2025-03-29 18:05:59,2026-01-11 18:34:16
13,389,R7SDN8,https://hackstack.io/keen/river/13,Quarterly brief meadow,True,2026-01-28 14:58:13,2026-02-05 14:50:21
14,77,G8CLaA,https://example.com/rapid/zenith/14,Ops review river,True,2026-01-22 01:03:06,2026-02-14 08:55:11
15,265,Y6K93x,https://seeded.app/proud/quartz/15,Alert feed harvest,True,2025-12-25 04:42:03,2026-02-18 11:01:00
